ent,sexo,year,pobreza,pobreza_e,pobreza_m,carencias,carencias3,int_pob,int_pobe,int_vulcar,int_caren,ict
México,1,2018,.40858468,.047286466,.36129823,.67634416,.18088408,.1425406,.027488107,.082516305,.22505692,15785.40172748436
México,2,2018,.42641136,.045795575,.38061577,.68429208,.15759395,.1443416,.026193159,.072592199,.2169338,15396.24650850884
México,1,2020,.48691455,.082998231,.4039163,.67189032,.21106216,.18297894,.047894191,.057879824,.24085878,15725.24725074854
México,2,2020,.49029699,.081270911,.40902606,.66749144,.19634205,.17985921,.047558032,.053982519,.23384173,15647.40546853803
México,1,2022,.42362824,.057469267,.36615899,.66485208,.23572077,.1682726,.034368008,.083605006,.25187761,18451.38290797142
México,2,2022,.43353185,.06158543,.37194642,.66176552,.21879756,.16940464,.036831461,.075499952,.24490458,18613.65193932061
Michoacán de Ocampo,1,2016,.53273273,.084431604,.44830111,.82496172,.32081801,.21952179,.050794329,.10272133,.32224312,11564.54803767035
Michoacán de Ocampo,2,2016,.55018657,.08179082,.46839577,.81500226,.29418987,.21751367,.04838182,.087915652,.30542931,11020.20002896953
Michoacán de Ocampo,1,2018,.45019236,.053806711,.39638567,.78958464,.25435904,.17268123,.031786036,.11285592,.28553715,15112.77906450746
Michoacán de Ocampo,2,2018,.47304049,.052562613,.42047787,.79314142,.23617373,.17613588,.032305121,.10003907,.27617496,14410.35485214102
Michoacán de Ocampo,1,2020,.4386124,.077294923,.36131749,.780945,.32756659,.18892579,.047226753,.12649205,.31541786,15636.91845472689
Michoacán de Ocampo,2,2020,.45119363,.074543752,.37664986,.78626877,.28235549,.18431906,.045445018,.1147897,.29910877,15378.53128063223
Michoacán de Ocampo,1,2022,.40650234,.070169099,.33633322,.7800625,.36200941,.18839706,.044605587,.1456487,.33404577,19598.23002932666
Michoacán de Ocampo,2,2022,.42708153,.079817966,.34726357,.78137285,.35016406,.19400404,.050355699,.13269418,.32669824,18062.43404919257
Morelos,1,2016,.47390842,.048174132,.42573431,.74602079,.19906893,.16519302,.028530933,.083711535,.24890456,13340.93163937462
Morelos,2,2016,.46044034,.053603988,.40683633,.71585786,.1786467,.15968727,.031484444,.071545906,.23123316,13110.08419025291
Morelos,1,2018,.48915857,.057585064,.43157351,.78234124,.23916495,.17840667,.033124354,.09316285,.27156952,14386.85168556599
Morelos,2,2018,.48202801,.065465182,.41656283,.7655642,.20270398,.17204554,.037977088,.080749281,.25279483,14227.18047080855
Morelos,1,2020,.50407898,.088407539,.41567144,.7570864,.25935367,.19522893,.052243467,.083557054,.278786,14076.21500584415
Morelos,2,2020,.51436543,.080776028,.4335894,.73699671,.22056703,.18956888,.047726538,.069261618,.25883049,13728.00945539749
Morelos,1,2022,.40037102,.058897767,.34147325,.72730321,.28442308,.16534032,.034934327,.12196925,.28730956,19169.91008880514
Morelos,2,2022,.41962031,.058060531,.36155978,.71158606,.26415578,.17159499,.034421753,.10278078,.27437577,18694.91120779476
Nayarit,1,2016,.37824571,.078199759,.30004594,.68848389,.20025183,.14476094,.05036952,.094156884,.23891781,14063.62505240113
Nayarit,2,2016,.38381448,.07682053,.30699396,.66437805,.16960917,.14103426,.049683165,.078735307,.21976957,14485.34798443449
Nayarit,1,2018,.35800046,.055233508,.30276695,.68486643,.19568226,.13737912,.035262752,.099476963,.23685609,16620.23968783452
Nayarit,2,2018,.35642454,.056279864,.30014467,.66329563,.15537706,.12946332,.036610242,.082325265,.21178858,16124.56635169143
Nayarit,1,2020,.3110725,.038266316,.27280617,.67677748,.19464462,.11581438,.023201564,.11736888,.23318326,17371.78515369257
Nayarit,2,2020,.29750329,.03764981,.25985348,.64009672,.14148535,.1039914,.023141174,.09837731,.20236871,17778.5506714343
Nayarit,1,2022,.28763038,.070690438,.21693996,.687581,.24763273,.12733875,.044411682,.1335756,.26091436,21622.47899441103
Nayarit,2,2022,.29836401,.058206432,.24015759,.64821333,.1959531,.12423691,.036891699,.10935958,.23359649,22636.71767153181
Nuevo León,1,2016,.18279594,.012233837,.1705621,.46328056,.080207817,.057405934,.0071654636,.075676955,.13308288,34661.06373461432
